Probability,Percentage
-10.1 or less,0
-10 to -8.1,0
-8 to -7.3,0
-7.2 to -6.8,0
-6.7 to -6.3,20
-5.2 to -4.8,0
-4.7 to -4.3,30
-4.2 to -3.8,0
-3.7 to -3.3,0
-3.2 to -2.8,10
-2.7 to -2.3,0
-2.2 to -1.8,0
-1.7 to -1.3,0
-1.2 to -0.8,0
-0.7 to -0.3,0
-0.2 to 0.2,0
0.3 to 0.7,0
0.8 to 1.2,0
1.3 to 1.7,0
1.8 to 2.2,0
2.3 to 2.7,0
2.8 to 3.2,0
3.3 to 3.7,0
3.8 to 4.2,0
4.3 to 4.7,0
4.8 to 5.2,0
5.3 to 5.7,0
5.8 to 6.2,0
6.3 to 6.7,0
6.8 to 7.2,0
7.3 to 8,0
8.1 to 9,0
9.1 to 10,0
10.1 to 11,0
11.1 to 12,0
12 to 15,0
16 to 20,0
21 to 25,0
26 to 30,0
>30,0
